n-plet	method	O-information	alpha	beta
X1-X2-Z_red	GCMI	0.8408552073429003	0.01	0.01
X1-X2-Z_red	NPEET	1.707521894348649	0.01	0.01
X1-X2-Z_red	THOI	0.5828366041183471	0.01	0.01
X1-X2-Z_syn	GCMI	0.13398488684150273	0.01	0.01
X1-X2-Z_syn	NPEET	-0.9435182201012537	0.01	0.01
X1-X2-Z_syn	THOI	0.0928714394569397	0.01	0.01
X1-X2-Z_syn-Z_red	GCMI	-5.543917638401179	0.01	0.01
X1-X2-Z_syn-Z_red	NPEET	5.0315470251504655	0.01	0.01
X1-X2-Z_syn-Z_red	THOI	-3.8427700996398926	0.01	0.01
X1-X2-Z_red	GCMI	3.870727165164977	0.01	0.1
X1-X2-Z_red	NPEET	3.80722925761136	0.01	0.1
X1-X2-Z_red	THOI	2.6829891562461854	0.01	0.1
X1-X2-Z_syn	GCMI	0.0018184617648771884	0.01	0.1
X1-X2-Z_syn	NPEET	0.0022303073231347615	0.01	0.1
X1-X2-Z_syn	THOI	0.0012650370597839355	0.01	0.1
X1-X2-Z_syn-Z_red	GCMI	-0.7491597392384733	0.01	0.1
X1-X2-Z_syn-Z_red	NPEET	5.872783742513921	0.01	0.1
X1-X2-Z_syn-Z_red	THOI	-0.5190201759338379	0.01	0.1
X1-X2-Z_red	GCMI	4.857969935782177	0.01	0.2
X1-X2-Z_red	NPEET	4.4968632864366045	0.01	0.2
X1-X2-Z_red	THOI	3.3673195481300353	0.01	0.2
X1-X2-Z_syn	GCMI	0.00045477887830643884	0.01	0.2
X1-X2-Z_syn	NPEET	0.3348422854339811	0.01	0.2
X1-X2-Z_syn	THOI	0.0003296017646789551	0.01	0.2
X1-X2-Z_syn-Z_red	GCMI	1.2016109523648633	0.01	0.2
X1-X2-Z_syn-Z_red	NPEET	6.219403114556479	0.01	0.2
X1-X2-Z_syn-Z_red	THOI	0.8319257974624634	0.01	0.2
X1-X2-Z_red	GCMI	5.434494439113858	0.01	0.3
X1-X2-Z_red	NPEET	4.9047858339756925	0.01	0.3
X1-X2-Z_red	THOI	3.766958165168762	0.01	0.3
X1-X2-Z_syn	GCMI	0.00015165262802590006	0.01	0.3
X1-X2-Z_syn	NPEET	0.5349444983418234	0.01	0.3
X1-X2-Z_syn	THOI	0.0001591324806213379	0.01	0.3
X1-X2-Z_syn-Z_red	GCMI	2.3143878024358697	0.01	0.3
X1-X2-Z_syn-Z_red	NPEET	6.4193770201925515	0.01	0.3
X1-X2-Z_syn-Z_red	THOI	1.602659821510315	0.01	0.3
X1-X2-Z_red	GCMI	5.8419908397054545	0.01	0.4
X1-X2-Z_red	NPEET	5.18436986500157	0.01	0.4
X1-X2-Z_red	THOI	4.049362540245056	0.01	0.4
X1-X2-Z_syn	GCMI	0.00014516950573748022	0.01	0.4
